title,author,rating,genres,pages,ratings_count
The Five People You Meet in Heaven,"Mitch Albom, Mitch Albom",4.0,"Fiction, Contemporary, Inspirational, Fantasy, Classics, Book Club, Spirituality, Philosophy, Adult, Adult Fiction",196,771899
Watchmen,"Alan Moore, Dave Gibbons, John Higgins, Alan Moore",4.39,"Graphic Novels, Fiction, Science Fiction, Fantasy, Graphic Novels Comics, Classics, Comic Book, Dystopia, Dc Comics, Superheroes",416,581781
The Divine Comedy: Inferno - Purgatorio - Paradiso,"Dante Alighieri, Allen Mandelbaum, Eugenio Montale, Dante Alighieri",4.08,"Poetry, Fiction, Literature, Philosophy, Fantasy, Italian Literature, Italy, Classic Literature, Mythology, School",798,165040
All Quiet on the Western Front,"Erich Maria Remarque, Arthur Wesley Wheen, Erich Maria Remarque",4.1,"Classics, Fiction, Historical Fiction, War, Historical, Literature, German Literature, School, World War I, Novels",296,497520
The Cat in the Hat,"Dr. Seuss, Dr. Seuss",4.19,"Childrens, Picture Books, Fiction, Poetry, Classics, Fantasy, Humor, Animals, Kids, Cats",61,570477
"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch","Terry Pratchett, Neil Gaiman, Terry Pratchett",4.25,"Fantasy, Fiction, Humor, Audiobook, Comedy, Urban Fantasy, Book Club, Science Fiction Fantasy, Adult, Science Fiction",491,802637
The Little House Collection,"Laura Ingalls Wilder, Laura Ingalls Wilder",4.36,"Classics, Historical Fiction, Childrens, Fiction, Young Adult, Historical, Middle Grade, Juvenile, Literature, Adventure",2700,155898
Lonesome Dove,"Larry McMurtry, Larry McMurtry",4.56,"Fiction, Historical Fiction, Westerns, Classics, Historical, Adventure, Audiobook, Book Club, Novels, Literature",960,216002
Peter Pan,"J.M. Barrie, Michael Hague, J.M. Barrie",4.03,"Classics, Fantasy, Fiction, Childrens, Adventure, Audiobook, Young Adult, Middle Grade, Fairy Tales, Literature",155,363871
The Titan’s Curse,"Rick Riordan, Rick Riordan",4.37,"Fantasy, Young Adult, Mythology, Fiction, Middle Grade, Adventure, Greek Mythology, Childrens, Urban Fantasy, Audiobook",352,1162894
